x d u P
4.804687500000000000e-01 1.263975578348249762e+01 8.545936611487192636e+00 1.839479053580248546e+03
4.882812500000000000e-01 1.275234751879404094e+01 8.523048013563835568e+00 1.836048318692266548e+03
4.960937500000000000e-01 1.281815788189820893e+01 8.517544514142795009e+00 1.835078340555561681e+03
5.039062500000000000e-01 1.281295491823113686e+01 8.519211837175262758e+00 1.834493397419365920e+03
5.117187500000000000e-01 1.276197240227759622e+01 8.525012228409973858e+00 1.834061163541753103e+03
5.195312500000000000e-01 1.268098318164732596e+01 8.533503827656000240e+00 1.834635319446615085e+03
5.273437500000000000e-01 1.265661469626411062e+01 8.544446448156513441e+00 1.836699001807629429e+03
5.351562500000000000e-01 1.266684066613830772e+01 8.556910501499178423e+00 1.840058904256739197e+03
5.429687500000000000e-01 1.270887362601432891e+01 8.564822478319422672e+00 1.843217581295593391e+03
5.507812500000000000e-01 1.277916676747174662e+01 8.568306979826019187e+00 1.845395175125473770e+03
5.585937500000000000e-01 1.281181496677679910e+01 8.570727024491846535e+00 1.846326347777465344e+03
5.664062500000000000e-01 1.281127260858555950e+01 8.572655569505636564e+00 1.846388637658083326e+03
5.742187500000000000e-01 1.278782135122878394e+01 8.577538608077331261e+00 1.845645275463550661e+03
5.820312500000000000e-01 1.273961084232441188e+01 8.583353093984529281e+00 1.844678787179376741e+03
5.898437500000000000e-01 1.271662781904244710e+01 8.587366199486352158e+00 1.844280883321409419e+03
5.976562500000000000e-01 1.271934829041504678e+01 8.589284953418637514e+00 1.844476690187050053e+03
6.054687500000000000e-01 1.274030772858402649e+01 8.587364320176215315e+00 1.845225568899894370e+03
6.132812500000000000e-01 1.277261485749344416e+01 8.582935368320464775e+00 1.846202043537571626e+03
6.210937500000000000e-01 1.278472562942110358e+01 8.575305422389368104e+00 1.846290238468319558e+03
6.289062500000000000e-01 1.277875660278834147e+01 8.565770783839896652e+00 1.844604242363585399e+03
6.367187500000000000e-01 1.274957985098581759e+01 8.550465094549858591e+00 1.840521690527604960e+03
6.445312500000000000e-01 1.271113630985315623e+01 8.537847887666558222e+00 1.836317894248876200e+03
6.523437500000000000e-01 1.269167732961653705e+01 8.532779602143488518e+00 1.833789903037924205e+03
6.601562500000000000e-01 1.268897001975697414e+01 8.531682752043986184e+00 1.832825173797426260e+03
6.679687500000000000e-01 1.270162821557518207e+01 8.530861843251337007e+00 1.833515589943244777e+03
6.757812500000000000e-01 1.273000390861180442e+01 8.530523556842219079e+00 1.835682466839568633e+03
6.835937500000000000e-01 1.275374581602804724e+01 8.534864318380879666e+00 1.838741202139775851e+03
6.914062500000000000e-01 1.276233226142862165e+01 8.545206585171165159e+00 1.841808156097206165e+03
6.992187500000000000e-01 1.276242096612069332e+01 8.556821270625695419e+00 1.843862325262467721e+03
7.070312500000000000e-01 1.275632439953030151e+01 8.567324635997099591e+00 1.844597905485915817e+03
7.148437500000000000e-01 1.274441671185604008e+01 8.578338998029414242e+00 1.844252783018259379e+03
7.226562500000000000e-01 1.274489910316527030e+01 8.583944574359458457e+00 1.843917754766749795e+03
7.304687500000000000e-01 1.275270240337820837e+01 8.585755708698000532e+00 1.844021861502113325e+03
7.382812500000000000e-01 1.277566543989686743e+01 8.583535851008171846e+00 1.844701988713407900e+03
7.460937500000000000e-01 1.282334367805776232e+01 8.577557780546651856e+00 1.846285983171181442e+03
7.539062500000000000e-01 1.290423586511041165e+01 8.574106127864210336e+00 1.847537010068091604e+03
7.617187500000000000e-01 1.304399308328236273e+01 8.572760376872844645e+00 1.847917828194132198e+03
7.695312500000000000e-01 1.328164593446896724e+01 8.575390508968993686e+00 1.846993586303009806e+03
7.773437500000000000e-01 1.368016123345898727e+01 8.578359023271090678e+00 1.844784621349041117e+03
7.851562500000000000e-01 1.432670092768255010e+01 8.574989744440934203e+00 1.841643436243869928e+03
7.929687500000000000e-01 1.530911137405150768e+01 8.560672029584507570e+00 1.838122389374509567e+03
8.007812500000000000e-01 1.668801397974139178e+01 8.542902263810601582e+00 1.835736602541797993e+03
8.085937500000000000e-01 1.837791659675332667e+01 8.528154809852923179e+00 1.835527874634530463e+03
8.164062500000000000e-01 1.974164597505716401e+01 8.520500128507659809e+00 1.836617281129675803e+03
8.242187500000000000e-01 2.062613438790822329e+01 8.526768664827304889e+00 1.837485983620351362e+03
8.320312500000000000e-01 2.119994304511439509e+01 8.543009255526094137e+00 1.837999774673585762e+03
8.398437500000000000e-01 2.153950492492761271e+01 8.563163603970354032e+00 1.839177720047319326e+03
8.476562500000000000e-01 2.173073881328698320e+01 8.573487058932716565e+00 1.841343063153842650e+03
8.554687500000000000e-01 2.183613211373353380e+01 8.573010044435092070e+00 1.844207951895881706e+03
8.632812500000000000e-01 2.191442063905887849e+01 8.567559665265287450e+00 1.847673696852947842e+03
8.710937500000000000e-01 2.194888035872726206e+01 8.566651964653425821e+00 1.848863915632036424e+03
8.789062500000000000e-01 2.194496466026183157e+01 8.573315839766996405e+00 1.847408920844504109e+03
8.867187500000000000e-01 2.193119506589776790e+01 8.584017292726313642e+00 1.844868577884770502e+03
8.945312500000000000e-01 2.191399876473502317e+01 8.586390392714212894e+00 1.842390049499564611e+03
9.023437500000000000e-01 2.192263272427641141e+01 8.577160698780069481e+00 1.842230200475978108e+03
9.101562500000000000e-01 2.193818289952558587e+01 8.556442550815354764e+00 1.843387332203840060e+03
9.179687500000000000e-01 2.193685642227869081e+01 8.539329248311911869e+00 1.842070861751237317e+03
9.257812500000000000e-01 2.192578051157931540e+01 8.535250417427484138e+00 1.839474667016609146e+03
9.335937500000000000e-01 2.190583123921531694e+01 8.540631639923878637e+00 1.835904793416158554e+03
9.414062500000000000e-01 2.188446795506279940e+01 8.551019254814752557e+00 1.833080175413985216e+03
9.492187500000000000e-01 2.188601770883947140e+01 8.560453911900836488e+00 1.833972427732865071e+03
9.570312500000000000e-01 2.191232557198188147e+01 8.554071109025144892e+00 1.838781311792688257e+03
9.648437500000000000e-01 2.194865203404179610e+01 8.547138276422177938e+00 1.845744805591880777e+03
9.726562500000000000e-01 2.193604053228960282e+01 8.554919841662490754e+00 1.845717277738072198e+03
9.804687500000000000e-01 2.186945659602606540e+01 8.534195552294372433e+00 1.837671532089236734e+03
9.882812500000000000e-01 2.114550798544437882e+01 8.051999197538515674e+00 1.732099874904115723e+03
9.960937500000000000e-01 1.378647840794571167e+01 3.885045518996748548e+00 9.121713268593616704e+02
